project,organism,organism_subtype,sample_source,full_sample_name,virus_line_no,cell_line_no,exp_no,transfer_no,ngs_date,ngs_instrument,ngs_technology,sample_set_no,sample_date,amplicon,forward_name,reverse_name,extra_base_uuid,base_uuid,used,paired_sample,included
HIV_passaging,HIV-1,B,virus passaging supernatant,13MT2EXPIIIVP10FullRepseq25052018,13,2,III,10,25.05.2018,Illumina MiSeq 2,2x250bp,1,13.02.2017,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180525_VPIII_10_60_Sample13_16FullRep\13MT2EXPIIIVP10FullRepseq25052018_S1_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180525_VPIII_10_60_Sample13_16FullRep\13MT2EXPIIIVP10FullRepseq25052018_S1_L001_R2_001.fastq.gz,0eb7aa90-9380-4bcd-80fa-863b0e14c42e,8652f43b-8856-40a6-9636-2dd442c1b020,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,13MT2EXPIIIVP20FullRepseq25052018,13,2,III,20,25.05.2018,Illumina MiSeq 2,2x250bp,2,20.03.2017,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180525_VPIII_10_60_Sample13_16FullRep\13MT2EXPIIIVP20FullRepseq25052018_S2_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180525_VPIII_10_60_Sample13_16FullRep\13MT2EXPIIIVP20FullRepseq25052018_S2_L001_R2_001.fastq.gz,60e5d6ce-5488-46a4-aa42-e8b3e9a580f8,971b87cd-e38f-4a2c-b69a-20f09920c242,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,13MT2EXPIIIVP30seq08122022,13,2,III,30,08.12.2022,Illumina MiSeq 2,2x250bp,1,24.04.2017,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20221208_VPIII_IV_repetitions/13MT2EXPIIIVP30seq08122022_S1_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20221208_VPIII_IV_repetitions/13MT2EXPIIIVP30seq08122022_S1_L001_R2_001.fastq.gz,7da1d6fc-aad8-4532-ab0b-213c7b8765f5,da2ddc25-169e-46ee-8f75-e7e663e0de6b,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,13MT2EXPIIIVP40FullRepseq25052018,13,2,III,40,25.05.2018,Illumina MiSeq 2,2x250bp,4,29.05.2017,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180525_VPIII_10_60_Sample13_16FullRep\13MT2EXPIIIVP40FullRepseq25052018_S4_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180525_VPIII_10_60_Sample13_16FullRep\13MT2EXPIIIVP40FullRepseq25052018_S4_L001_R2_001.fastq.gz,909a6e32-5eb7-4007-af19-e4778a6b0db1,abf34855-f618-4a4f-a51c-382fca596be7,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,13MT2EXPIIIVP50FullRepseq25052018,13,2,III,50,25.05.2018,Illumina MiSeq 2,2x250bp,5,03.07.2017,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180525_VPIII_10_60_Sample13_16FullRep\13MT2EXPIIIVP50FullRepseq25052018_S5_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180525_VPIII_10_60_Sample13_16FullRep\13MT2EXPIIIVP50FullRepseq25052018_S5_L001_R2_001.fastq.gz,149c6439-2665-4a90-837f-e822e662ca1c,dffd4373-c2e6-4216-bdf3-a09a494e8c13,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,13MT2EXPIIIVP60FullRepseq25052018,13,2,III,60,25.05.2018,Illumina MiSeq 2,2x250bp,6,28.08.2017,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180525_VPIII_10_60_Sample13_16FullRep\13MT2EXPIIIVP60FullRepseq25052018_S6_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180525_VPIII_10_60_Sample13_16FullRep\13MT2EXPIIIVP60FullRepseq25052018_S6_L001_R2_001.fastq.gz,7636b891-6329-41bb-a98c-1509cc0d1acb,7e5cc19d-1b4a-4ad3-a556-fd7b93c068c7,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,13MT2EXPIIIVP70seq07062018,13,2,III,70,07.06.2018,Illumina MiSeq 2,2x250bp,1,02.10.2017,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180607_VPIII_70_120_Sample13_16\13MT2EXPIIIVP70seq07062018_S1_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180607_VPIII_70_120_Sample13_16\13MT2EXPIIIVP70seq07062018_S1_L001_R2_001.fastq.gz,f89fdf19-4882-45d7-aa10-a8273f1e9b73,8cfe8f2c-9f72-43a7-80e5-d77ee541398c,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,13MT2EXPIIIVP80seq07062018,13,2,III,80,07.06.2018,Illumina MiSeq 2,2x250bp,2,06.11.2017,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180607_VPIII_70_120_Sample13_16\13MT2EXPIIIVP80seq07062018_S2_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180607_VPIII_70_120_Sample13_16\13MT2EXPIIIVP80seq07062018_S2_L001_R2_001.fastq.gz,4adbf589-88f6-4f97-8d45-457606d13a44,82c4d6e6-a638-4645-8720-3948e17c4b38,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,13MT2EXPIIIVP90seq20052022,13,2,III,90,20.05.2022,Illumina MiSeq 2,2x250bp,7,11.12.2017,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20220520_VPIII_430_480_90_Cultures13_16/13MT2EXPIIIVP90seq20052022_S7_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20220520_VPIII_430_480_90_Cultures13_16/13MT2EXPIIIVP90seq20052022_S7_L001_R2_001.fastq.gz,cb98b556-a62d-49ea-a68e-f1f8bcab46bc,8b604017-7ead-4176-ab38-fb6e1cdcbff9,T,NA,TRUE
HIV_passaging,HIV-1,B,virus passaging supernatant,13MT2EXPIIIVP100seq07062018,13,2,III,100,07.06.2018,Illumina MiSeq 2,2x250bp,4,05.02.2018,HIV-1. Full-length,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180607_VPIII_70_120_Sample13_16\13MT2EXPIIIVP100seq07062018_S4_L001_R1_001.fastq.gz,\\fs-group\INF_Forschungen\INF_FL_Labor\0_Karin_lab\NGS\ILLUMINA\20180607_VPIII_70_120_Sample13_16\13MT2EXPIIIVP100seq07062018_S4_L001_R2_001.fastq.gz,75c70a4f-9863-43e3-b8ba-bf4231eb9dc9,e05470a5-d092-4fa3-ae3f-acc507d5febc,T,NA,TRUE
