"Var1"	"Var2"	"passage"	"total_unique"	"shared"	"pct_shared"	"expected_pct_shared"	"p.val"	"CI_lower"	"CI_upper"
"1"	"MT-2_1"	"MT-2_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"2"	"MT-2_1"	"MT-2_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"3"	"MT-2_1"	"MT-4_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"4"	"MT-2_1"	"MT-4_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"5"	"MT-2_2"	"MT-2_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"6"	"MT-2_2"	"MT-2_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"7"	"MT-2_2"	"MT-4_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"8"	"MT-2_2"	"MT-4_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"9"	"MT-4_1"	"MT-2_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"10"	"MT-4_1"	"MT-2_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"11"	"MT-4_1"	"MT-4_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"12"	"MT-4_1"	"MT-4_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"13"	"MT-4_2"	"MT-2_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"14"	"MT-4_2"	"MT-2_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"15"	"MT-4_2"	"MT-4_1"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"16"	"MT-4_2"	"MT-4_2"	"10"	"0"	"0"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
