pos1	pos2	r2
616	618	0.017944015880821
616	643	0.000288726671999002
618	643	0.000154223038417555
1264	1446	0.00626886900536731
1446	1755	3.10697951879101e-06
3078	3158	0.0815946863315834
4345	4346	0.0730239933727621
4345	4737	3.93604829834035e-05
4346	4737	0.0108222978869147
4737	4866	0.00750144319024249
4737	4997	1.90937297555321e-05
4737	5098	6.9194669025617e-05
4866	4997	0.0102167237809775
4866	5098	8.07403266877833e-06
4997	5098	0.00140281375203513
4997	5385	5.28606417281906e-05
5098	5385	7.94067934402426e-05
5385	5622	0.000634638565554852
6622	6627	0.0169350722620034
6622	6670	0.255328161938775
6622	6719	0.0672501691424609
6622	6910	0.00193509281639138
6627	6670	0.0267758962824735
6627	6719	0.0191189011278847
6627	6910	6.7320526134714e-06
6670	6719	0.11974738445098
6670	6910	0.00101040441647497
6670	7055	0.000206894966322097
6719	6910	0.00189898702197036
6719	7055	0.00442111974993987
6910	7055	0.00180709093854081
7055	7332	5.55999472594786e-05
7836	7864	0.187964919322253
8524	8700	5.83835066593687e-06
8524	8720	1.15702485315211e-05
8700	8720	0.0331564291948094
9293	9528	1.67819210336544e-05
