# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Gene_12278_13138	Gene_12278_13138	AAK08491.1	protein_coding	0	0	0	676994	0	0	0	0	676994	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene_2084_5095	Gene_2084_5095	AAK08484.2	protein_coding	460040	117731	207698	1705962	12158	1957	18817	3563	1240011	0	446116	0	0	171718	0	0	638	0	20335	449	146	117585	465951
Gene_5040_5618	Gene_5040_5618	AAK08482.1	protein_coding	69756	18875	39777	2358364	1655	179	2634	485	1123319	0	66297	1	0	35022	0	0	860	633	3841	592	196	18678	1235045
Gene_5558_5848	Gene_5558_5848	AAK08485.1	protein_coding	49242	11163	27822	2314171	1199	129	2579	350	1052108	0	45999	0	0	23969	0	0	933	578	3509	786	103	11060	1262063
Gene_5829_8413	Gene_5829_8413	AAK08486.1	protein_coding	34548	12813	18651	2230714	1097	169	1680	241	341692	4	32481	0	652542	15978	392	505	5489	558	1069	787	398	9550	1240242
Gene_5968_8642	Gene_5968_8642	AAK08487.1	protein_coding	47499	19435	33978	2157872	1609	160	3640	509	275396	6	45454	0	652542	28474	392	505	5020	504	1336	514	182	16388	1233696
Gene_6060_6305	Gene_6060_6305	AAK08488.1	protein_coding	41847	9771	27833	2162871	3678	377	2929	417	923603	0	40017	0	0	20810	0	0	1167	888	1607	890	233	9538	1239268
Gene_6220_8784	Gene_6220_8784	AAK08489.2	protein_coding	399700	99757	223242	1479578	15823	1971	30226	3674	230222	0	381482	0	0	172561	0	0	1141	519	23276	1019	107	99650	1249356
Gene_789_2291	Gene_789_2291	AAK08483.1	protein_coding	196332	59249	85358	1476630	3249	1386	8557	4150	1297127	0	191904	0	0	69178	0	0	830	1243	5415	805	15	59234	179503
Gene_8786_9406	Gene_8786_9406	AAK08490.1	protein_coding	92635	24771	64264	1395526	2393	1218	6265	1812	48396	0	87206	13	0	53187	0	0	981	1465	5752	853	111	24647	1347130
