"Var1"	"Var2"	"passage"	"total_unique"	"shared"	"pct_shared"	"expected_pct_shared"	"p.val"	"CI_lower"	"CI_upper"
"1"	"MT-2_1"	"MT-2_1"	10	0	0	NA	NA	NA	NA	NA
"2"	"MT-2_1"	"MT-2_2"	10	0	0	NA	NA	NA	NA	NA
"3"	"MT-2_1"	"MT-4_1"	10	0	0	NA	NA	NA	NA	NA
"4"	"MT-2_1"	"MT-4_2"	10	0	0	NA	NA	NA	NA	NA
"5"	"MT-2_2"	"MT-2_1"	10	0	0	NA	NA	NA	NA	NA
"6"	"MT-2_2"	"MT-2_2"	10	0	0	NA	NA	NA	NA	NA
"7"	"MT-2_2"	"MT-4_1"	10	0	0	NA	NA	NA	NA	NA
"8"	"MT-2_2"	"MT-4_2"	10	0	0	NA	NA	NA	NA	NA
"9"	"MT-4_1"	"MT-2_1"	10	0	0	NA	NA	NA	NA	NA
"10"	"MT-4_1"	"MT-2_2"	10	0	0	NA	NA	NA	NA	NA
"11"	"MT-4_1"	"MT-4_1"	10	0	0	NA	NA	NA	NA	NA
"12"	"MT-4_1"	"MT-4_2"	10	0	0	NA	NA	NA	NA	NA
"13"	"MT-4_2"	"MT-2_1"	10	0	0	NA	NA	NA	NA	NA
"14"	"MT-4_2"	"MT-2_2"	10	0	0	NA	NA	NA	NA	NA
"15"	"MT-4_2"	"MT-4_1"	10	0	0	NA	NA	NA	NA	NA
"16"	"MT-4_2"	"MT-4_2"	10	0	0	NA	NA	NA	NA	NA
"17"	"MT-2_1"	"MT-2_1"	20	0	0	NA	NA	NA	NA	NA
"18"	"MT-2_1"	"MT-2_2"	20	0	0	NA	NA	NA	NA	NA
"19"	"MT-2_1"	"MT-4_1"	20	0	0	NA	NA	NA	NA	NA
"20"	"MT-2_1"	"MT-4_2"	20	0	0	NA	NA	NA	NA	NA
"21"	"MT-2_2"	"MT-2_1"	20	0	0	NA	NA	NA	NA	NA
"22"	"MT-2_2"	"MT-2_2"	20	0	0	NA	NA	NA	NA	NA
"23"	"MT-2_2"	"MT-4_1"	20	0	0	NA	NA	NA	NA	NA
"24"	"MT-2_2"	"MT-4_2"	20	0	0	NA	NA	NA	NA	NA
"25"	"MT-4_1"	"MT-2_1"	20	0	0	NA	NA	NA	NA	NA
"26"	"MT-4_1"	"MT-2_2"	20	0	0	NA	NA	NA	NA	NA
"27"	"MT-4_1"	"MT-4_1"	20	0	0	NA	NA	NA	NA	NA
"28"	"MT-4_1"	"MT-4_2"	20	0	0	NA	NA	NA	NA	NA
"29"	"MT-4_2"	"MT-2_1"	20	0	0	NA	NA	NA	NA	NA
"30"	"MT-4_2"	"MT-2_2"	20	0	0	NA	NA	NA	NA	NA
"31"	"MT-4_2"	"MT-4_1"	20	0	0	NA	NA	NA	NA	NA
"32"	"MT-4_2"	"MT-4_2"	20	0	0	NA	NA	NA	NA	NA
"33"	"MT-2_1"	"MT-2_1"	30	0	0	NA	NA	NA	NA	NA
