pos1	pos2	r2
455	464	0.0340168394735854
455	471	0.0041342843089031
455	484	0.00904590503129077
455	498	0.00169211028809883
455	502	0.183575644552711
455	566	0.0342857142857143
455	569	0.00497245179063361
455	571	0.000257201646090534
455	575	0.000450450450450451
455	604	0.00956937799043063
455	606	0.0144927536231884
455	609	0.0105820105820106
455	613	0.0192307692307692
455	614	0.00597371565113501
455	616	0.0218253968253968
455	618	0.00641025641025641
455	619	0.00841346153846154
455	621	0.0101809954751131
455	625	0.00689655172413793
455	629	0.010989010989011
455	643	0.010752688172043
455	655	0.00793650793650793
455	678	NA
455	713	NA
455	735	NA
455	752	NA
455	754	NA
455	754	NA
455	754	NA
455	759	NA
455	770	NA
455	774	NA
455	831	NA
455	834	NA
464	471	0.000600971632717666
464	484	0.000784697951516527
464	498	0.00509712192940355
464	502	0.0200865789083739
464	566	0.0146232369244279
464	569	0.0345206720059301
464	571	0.00669590840587534
464	575	0.0275928696981328
464	604	0.00271370420624152
464	606	0
464	609	0.00464499004644991
464	613	0.000106692447045708
464	614	0.00358220211161388
464	616	0.00353672301479775
464	618	0.00432407828857533
464	619	0.00677700099871593
464	621	0.00947459086993971
464	625	0.0124636192432803
464	629	0.00310812730889457
464	643	0.000134910408475678
464	655	0.00111930462025727
464	678	0.00569132909273521
464	713	0.00035100035100035
464	735	0.000545457823938836
464	752	NA
464	754	NA
464	754	NA
464	754	NA
464	759	NA
464	770	NA
464	774	NA
464	831	0.00905237547350373
464	834	0.00365238164281226
464	861	0.000211777402351095
471	484	0.0174920578951077
471	498	0.00630277150046757
471	502	0.0157244964262508
471	566	0.0645003962689752
471	569	0.308845029239766
471	571	0.0327229024363383
471	575	0.0678802477430561
471	604	0.0207493827160494
471	606	2.18134859695664e-07
471	609	0.129256289256289
471	613	0.0238469543277236
471	614	0.179643901142706
471	616	0.000362965465531469
471	618	0.273078697721027
471	619	0.135958072726808
471	621	0.168785703947761
471	625	0.00721234365892746
471	629	0.107398362753868
471	643	0.0539524765782379
471	655	0.112304582658388
471	678	0.0197371481095927
471	713	0.0887153628812636
471	735	0.00187259473762804
471	752	NA
471	754	NA
471	754	NA
471	754	NA
471	759	NA
471	770	NA
471	774	NA
471	831	0.00692490673064217
471	834	0.00297739066208456
471	861	0.00647782780977667
484	498	0.00581246817001595
484	502	0.000769361693812294
484	566	0.00224181208949163
484	569	2.90440252695312e-06
484	571	0.00188599767982645
484	575	9.36767465684059e-06
484	604	4.42500450644934e-06
484	606	0.0010456893987919
484	609	0.00029204769637919
484	613	0.00220628809307838
484	614	0.00230923463396084
484	616	0.00181541442449666
484	618	0.000108209584377129
484	619	1.59053314671189e-05
484	621	0.00446343217158221
484	625	5.11005181532819e-05
484	629	0.000401253995498633
484	643	8.62924460462264e-06
484	655	0.00018666103354905
484	678	4.65497387402891e-07
484	713	2.39172553192508e-05
484	735	0.000807967757161777
484	752	NA
484	754	NA
484	754	NA
484	754	NA
484	759	NA
484	770	NA
484	774	NA
484	831	0.00147489867748351
484	834	0.00117322761518594
484	861	0.000101130289717894
498	502	0.000472547254725473
498	566	0.00166643035769728
498	569	0.0625367132714956
498	571	1.90494694669986e-06
498	575	1.14305474082899e-05
498	604	0.01164667324226
498	606	0.00626883417566046
498	609	0.00216137792627164
498	613	0.00235045332915297
498	614	0.00344816170239488
498	616	0.00545665313121424
498	618	0.0085300941722396
498	619	0.0387130883370221
498	621	0.0489243316458875
498	625	0.00639818446925335
498	629	0.00728898480759705
498	643	0.000343852528042894
498	655	0.000117448483354702
498	678	0.0108911622575893
498	713	0.000891755996382754
498	735	0.00140491940686953
498	752	NA
498	754	NA
498	754	NA
498	754	NA
498	759	NA
498	770	NA
498	774	NA
498	831	4.8591288151463e-06
498	834	0.00157413145437915
498	861	0.00023246923307168
502	566	0.000151847451853684
502	569	0.0254261069777782
502	571	0.00584148627706677
502	575	0.00481582042488821
502	604	0.00275115194962357
502	606	0.000405212408130807
502	609	0.022618759098411
502	613	0.00333383495201824
502	614	0.0501949144986235
502	616	0.00726624933796984
502	618	0.0789349172004152
502	619	0.054764826129132
502	621	0.0112730455702877
502	625	0.00334608961422395
502	629	0.0162327465294734
502	643	0.000750805964631389
502	655	0.00758165210341014
502	678	0.00616677994606708
502	713	0.0110860291022336
502	735	1.10422476008213e-05
502	752	NA
502	754	NA
502	754	NA
502	754	NA
502	759	NA
502	770	NA
502	774	NA
502	831	0.000495043513302873
502	834	0.000524384599228658
502	861	6.53101798720915e-05
566	569	1.1368272355387e-05
566	571	0.00376678861020746
566	575	0.00860377270590717
566	604	0.00890247185989012
566	606	0.0115454342437188
566	609	5.44432030846225e-05
566	613	0.0105988048798155
566	614	9.94304148501292e-05
566	616	0.0332685595467353
566	618	0.00457144704554138
566	619	0.000464991909726255
566	621	0.000517176109562621
566	625	0.000983106932823905
566	629	0.00113145218190185
566	643	0.000605899008426052
566	655	0.000227128366226665
566	678	0.000115840219835948
566	713	1.16200819628125e-05
566	735	0.00176571054100205
566	752	NA
566	754	NA
566	754	NA
566	754	NA
566	759	NA
566	770	NA
566	774	NA
566	831	0.000758618552349778
566	834	1.64696612857389e-11
566	861	0.000675134011450533
566	909	0.000250634650143618
569	571	0.0160142839191449
569	575	0.000894016477810693
569	604	0.113197191932816
569	606	0.000718843762229824
569	609	0.451963987252924
569	613	0.00216607148843094
569	614	0.241045311641125
569	616	2.73338935630913e-05
569	618	0.100656647556293
569	619	0.239693470615031
569	621	0.141210164153281
569	625	0.00120745363006471
569	629	0.0172557175705407
569	643	0.00240434684059767
569	655	0.00365004332445054
569	678	0.0529983719180437
569	713	0.015985298377409
569	735	1.34579701553308e-05
569	752	NA
569	754	NA
569	754	NA
569	754	NA
569	759	NA
569	770	NA
569	774	NA
569	831	0.000583694209974302
569	834	2.18502910893874e-05
569	861	2.40250023904488e-05
569	909	0.000278375829649957
571	575	0.0105664522690309
571	604	0.000798241417166316
571	606	0.00982969544339151
571	609	0.00386179816071463
571	613	0.00455966765356967
571	614	0.00407110554187624
571	616	0.0152527256622294
571	618	0.00723963833975708
571	619	0.0113718067859619
571	621	0.00497950323231635
571	625	2.20313938501031e-07
571	629	0.00129163672938966
571	643	0.00047960019217607
571	655	0.000207866932594604
571	678	7.84861109660892e-05
571	713	0.00362438842169609
571	735	0.00133148289309119
571	752	NA
571	754	NA
571	754	NA
571	754	NA
571	759	NA
571	770	NA
571	774	NA
571	831	6.96838667378828e-07
571	834	0.000454151865537248
571	861	1.7870545359169e-06
571	909	7.84461953764795e-06
