pos1	pos2	r2
455	464	0.664888888888889
455	471	1
455	484	NA
455	498	0.498175182481752
455	502	0.246139054143381
455	566	NA
455	569	0.04
455	571	0.0277777777777778
455	575	NA
455	604	NA
455	606	NA
455	609	NA
455	613	NA
455	614	NA
455	616	NA
455	618	NA
455	619	NA
455	621	NA
455	625	NA
455	629	NA
455	643	NA
455	655	NA
455	678	NA
455	713	NA
455	735	NA
455	752	NA
455	754	NA
455	754	NA
455	754	NA
455	759	NA
455	770	NA
455	774	NA
455	831	NA
455	834	NA
464	471	0.664874551971326
464	484	0.121207728565015
464	498	0.247685185185185
464	502	0.120988688730624
464	566	0.152664859981933
464	569	0.00013840830449827
464	571	0.000164365548980934
464	575	0.000396405919661734
464	604	NA
464	606	NA
464	609	NA
464	613	0.0284090909090909
464	614	0.010840108401084
464	616	0.0105113636363636
464	618	0.316239316239317
464	619	0.230263157894737
464	621	NA
464	625	0.324786324786325
464	629	NA
464	643	NA
464	655	NA
464	678	0.00398009950248756
464	713	NA
464	735	NA
464	752	NA
464	754	NA
464	754	NA
464	754	NA
464	759	NA
464	770	NA
464	774	NA
464	831	0.000164365548980934
464	834	0.000132117849121416
464	861	0.000255362614913177
471	484	6.85288232230452e-06
471	498	0.331583552055993
471	502	0.0584903709829868
471	566	7.9611495900008e-05
471	569	0.159608958052772
471	571	0.0918231450078584
471	575	0.41871921182266
471	604	NA
471	606	0.493975903614458
471	609	0.00237603305785124
471	613	0.0344234079173838
471	614	0.000443332498157342
471	616	0.00520690600164429
471	618	0.31368330464716
471	619	0.239864864864865
471	621	0.00850449293966624
471	625	0.0578703703703704
471	629	0.00114155251141553
471	643	0.0290322580645161
471	655	0.000925925925925926
471	678	0.0021854063806873
471	713	0.110060975609756
471	735	NA
471	752	NA
471	754	NA
471	754	NA
471	754	NA
471	759	NA
471	770	NA
471	774	NA
471	831	0.000112917795844625
471	834	9.46880030300161e-05
471	861	0.0545299480739041
484	498	NA
484	502	0.247619061181013
484	566	0.245744758565272
484	569	3.48675034867634e-05
484	571	0.161441984971395
484	575	0.000140605227389898
484	604	3.23876149760979e-05
484	606	NA
484	609	0.0528225806451616
484	613	NA
484	614	0.000347017030588663
484	616	0.00549473249328645
484	618	0.000222965440356635
484	619	0.000366367466568967
484	621	0.00157298524479992
484	625	0.163223140495868
484	629	0.207264957264957
484	643	0.0404594202299535
484	655	0.000306372549019621
484	678	NA
484	713	0.000186011904761903
484	735	NA
484	752	NA
484	754	NA
484	754	NA
484	754	NA
484	759	NA
484	770	NA
484	774	NA
484	831	7.43162901307969e-05
484	834	6.24912121732897e-05
484	861	8.84173297966396e-05
498	502	NA
498	566	NA
498	569	NA
498	571	NA
498	575	NA
498	604	NA
